game_id,block_key,season,lane,recommended_next_action,has_event_on_court_issue,has_material_minute_issue,has_severe_minute_issue,n_actionable_event_rows,max_abs_minute_diff,n_pm_reference_delta_rows,notes
0029600070,0,1997,status_quo_chosen,accept_old_era_visible_stint_minute_tail,False,True,False,0,0.3666666666666671,0,"Keep parser-visible Marciulionis stints. There is no event or PM contradiction, so the 22-second official-minute tail is accepted as old-era visible-stint/reference drift."
0029600171,0,1997,status_quo_chosen,accept_unanchored_missing_smith_stint,True,True,True,6,0.6166666666666654,1,"Michael Smith clearly has late-Q3 live actions, but the outgoing Kings player is not anchored. Keep current output and explicitly accept the source defect instead of synthesizing a hallucinated OUT."
0029600175,0,1997,status_quo_chosen,accept_single_event_unanchored_carr_tail,True,True,False,1,0.2333333333333334,0,"Chris Carr likely played the last Q3 possession, but the only anchor is one 14-second shot and the outgoing player is unknown. Keep current output with an accepted single-event source defect."
0029600204,0,1997,local_override_chosen,promote_e338_before_e339_accept_event_first_residual,False,True,False,0,0.2866666666666688,2,Promote E338 Harper FOR Jordan before E339 Harper foul. Fresh selected rerun clears event-on-court rows and counting stats; accept remaining Ron Harper -0.2867 minutes and Harper/Jordan -2/+2 PM split.
0029600332,0,1997,status_quo_chosen,accept_visible_pbp_over_box_rotation_split,False,True,True,0,12.466666666666663,23,"Keep parser-visible Mullin/DeClercq stints. Raw and BBR-visible PBP support the parser shape, and no live event anchors a 12-minute box-driven reconstruction."
0029600370,0,1997,status_quo_chosen,accept_visible_pbp_over_box_multi_player_split,False,True,True,0,12.38166666666666,22,"Keep parser-visible Dallas/Seattle rotations. The large Harper/Ehlo versus Mashburn/Schrempf split has no event-level anchor, so box-minute reconstruction would be role intuition."
0029600585,0,1997,status_quo_chosen,accept_unanchored_curry_late_entry_contradiction,True,True,False,2,0.2700000000000031,0,"Dell Curry probably entered before the 8:35 foul and 6:46 miss, but the true legal entry/outgoing player is not anchored. Keep current output rather than inventing a large Curry/Smith stint."
0029600657,0,1997,status_quo_chosen,accept_duplicate_sub_source_reference_split,False,True,True,0,0.75,2,Keep current Maxwell/Del Negro output. Dropping the first duplicate worsens MIN/PM; dropping the later duplicate creates an off-court Del Negro layup. Current output is the least-wrong production state.
0029601163,0,1997,status_quo_chosen,accept_minute_only_old_era_tail,False,True,True,0,0.6449999999999996,0,"Keep current Dudley/Robinson output. The drift is minute-only with no event or PM corroboration, so any boundary change would be box-minute fitting."
0029700159,A,1998,policy_overlay_chosen,accept_broken_sub_out_source_limited_tradeoff,True,True,True,0,1.8500000000000016,3,"Keep the current live DEN P3 state. Lauderdale entering is credible and Garrett as OUT is impossible, but the true outgoing player is not anchored enough for a reclassify."
0029701075,A,1998,policy_overlay_chosen,accept_scrambled_p3_current_output,True,True,True,13,1.0333333333333314,0,"Keep current parser output with a scrambled-P3 overlay. Childs/Cummings/DeClercq/Edney event evidence is real, but local windows only move damage to Oakley, Larry Johnson, or other slots."
0020000628,B,2001,local_override_chosen,keep_e229_before_e227_accept_source_reference_split,False,True,False,0,0.25,2,Keep promoted E229 Van Horn FOR Williams before E227 Van Horn foul. The event contradiction is fixed; the remaining Van Horn/Williams 0.25 minute and +/-2 PM split is an accepted source/reference boundary.
0020400335,B,2005,synthetic_sub_chosen,choose_q2_759_harrington_for_jr_smith,False,True,True,0,7.986666666666667,2,Choose synthetic Q2 7:59 Harrington FOR J.R. Smith. Five Harrington live actions plus BBR/tpdev possession evidence anchor both IN and OUT; official NBA/tpdev-box PM disagreement is accepted.
