game_id,period,team_id,source_type,reason,evidence_summary,preferred_source,date_added,notes
0020000576,5,1610612753,manual_raw_pbp_ot_fix,ot_false_positive_saved_row,Magic OT raw PBP shows Andrew DeClercq active throughout OT until 0:21 and Pat Garrity only entering at 0:25; the earlier short-window saved row was wrong and the one-game audit cleaned fully after the override,raw_pbp,2026-03-17,override later matched by v5 and v6 exact team set
0020000576,5,1610612759,manual_raw_pbp_ot_fix,ot_false_positive_saved_row,Spurs OT raw PBP shows Steve Kerr active until 0:21 and Danny Ferry only entering at 0:06; the earlier short-window saved row was wrong and the one-game audit cleaned fully after the override,raw_pbp,2026-03-17,override later matched by v5 and v6 exact team set
0020201104,5,1610612738,manual_raw_pbp_ot_fix,ot_jump_ball_false_positive,Celtics OT was a jump-ball-first-event false positive; Tony Battie starts OT and Eric Williams does not enter until 0:08; one-game audit and trace both cleaned after the override,raw_pbp,2026-03-17,override later matched by v5 and v6 exact team set
0020400501,2,1610612754,prefer_v6_when_v5_unresolved,q2_boundary_fix,Pacers P2 boundary miss survived until a targeted override; v5 was unresolved for this period while v6 resolved the exact IND team row and the targeted audit and trace both went to 0 mismatch rows,v6,2026-03-18,matches v6 exact team set
0020401139,5,1610612759,prefer_v6_when_v5_missing,ot_boundary_fix,Spurs OT Barry versus Bowen carryover miss; override uses the Bowen lineup backed by canary cleanup and later exact v6 boundary resolution for P5,v6,2026-03-17,matches v6 exact team set
0020500124,4,1610612737,v5_v6_consensus_boundary_fix,hawks_boundary_miss,Hawks P4 survivor was repaired with the team row that v5 and v6 already agree on; one-game period-starter audit went to 0 mismatch rows after the override,unknown,2026-03-18,matches v5 and v6 exact team set
0020500240,2,1610612737,v5_v6_consensus_boundary_fix,hawks_boundary_miss,Hawks P2 survivor causing Royal Ivey and Marvin Williams minute spill was repaired with the team row that v5 and v6 already agree on; one-game period-starter audit went to 0 mismatch rows after the override,unknown,2026-03-18,matches v5 and v6 exact team set
0020500498,5,1610612743,prefer_v6_when_v5_queued,ot_boundary_fix,Nuggets OT survivor with Boykins and Elson family contradictions was fixed by a team row already present in v6 while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0020500498,5,1610612756,prefer_v6_when_v5_queued,ot_boundary_fix,Suns OT survivor with Diaw and Kurt Thomas family contradictions was fixed by a team row already present in v6 while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0020700204,5,1610612738,prefer_v6_when_v5_queued,ot_boundary_fix,Celtics OT survivor with Kendrick Perkins and Drew Gooden contradiction family was fixed by the v6 P5 row while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0020700204,5,1610612739,prefer_v6_when_v5_queued,ot_boundary_fix,Cavaliers OT survivor with Kendrick Perkins and Drew Gooden contradiction family was fixed by the v6 P5 row while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0020700449,5,1610612766,prefer_v6_when_v5_missing,ot_boundary_fix,Charlotte OT coverage gap under v5 left Jeff McInnis out of the start-of-OT lineup; v6 had the exact P5 row and the override patched that missing v5 coverage cleanly,v6,2026-03-18,matches v6 exact team set
0020801227,5,1610612740,prefer_v6_when_v5_queued,ot_boundary_fix,Hornets OT survivor with Ime Udoka and Peja Stojakovic contradiction family was fixed by the v6 P5 row while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0020801227,5,1610612759,prefer_v6_when_v5_queued,ot_boundary_fix,Spurs OT survivor with Ime Udoka and Peja Stojakovic contradiction family was fixed by the v6 P5 row while v5 still had the period queued; one-game audit cleaned the starter mismatch,v6,2026-03-18,matches v6 exact team set
0021600253,4,1610612758,legacy_row_now_matches_v4_v5_v6,legacy_boundary_fix,"Override team row exactly matches the resolved SAC P4 team set in v4, v5, and v6; no contradictory local source row remains, so this is a retained legacy carry-forward row rather than an active repair.",unknown,pre-2026-03-19,legacy row | now redundant under current source stack
